participant_id;word;response;trial_order;response_order;rt;age;gender;other_languages
682500;bello;mitten;3;response3;28667,70000004770;20;female;english, spanish
719959;bello;jafher;5;response2;44612,90000000600;19;male;english, spanish
166415;bello;blorn;2;response2;67302,20000000010;19;female;albanian, english, french
629179;bello;zugghitien;0;response3;157999,80000007199;21;female;english
201365;bello;guten;10;response2;60723,00000000070;19;female;spanish
166415;bello;gadner;2;response3;67302,20000000010;19;female;albanian, english, french
24556;bello;sperdz;9;response2;52508,00000000000;19;female;english
705169;bello;nekker;7;response1;15025,50000000000;20;female;english
577133;bello;bulk;10;response1;33439,50000000000;20;female;english
909160;bello;gude;2;response3;46042,50000000000;21;female;none
823319;bello;gemutze;11;response1;85493,59999999400;19;female;english
705169;bello;iellj;7;response2;15025,50000000000;20;female;english
284147;bello;hallo;8;response2;31754,00000000000;21;female;english
862212;bello;zvider;1;response3;117948,00000000000;21;female;english, french
682500;bello;tonal;3;response2;28667,70000004770;20;female;english, spanish
498767;bello;bellac;1;response3;64659,00000000000;21;female;english
270400;bello;beinz;0;response1;29605,00000000000;20;female;english
359526;bello;dabro;10;response1;78892,39999985691;21;female;english
750782;bello;sreitch;1;response1;27477,19999998810;20;female;english, french
602920;bello;zaao;10;response3;45423,00000000000;21;male;english, spanish
835852;bello;bennecht;4;response3;37258,29999923710;19;female;english
750782;bello;streitzem;1;response2;27477,19999998810;20;female;english, french
952932;bello;guten;4;response2;134053,70000000001;20;female;english, spanish
550028;bello;biel;1;response1;111185,00000000000;23;NA;english, spanish
639301;bello;beutich;5;response2;98449,80000019071;22;female;english
557299;bello;gut;0;response1;78711,00000000000;19;female;english
470341;bello;gharel;10;response2;28085,00000000000;21;female;english, spanish
849437;bello;gakensten;0;response2;41922,29999995230;19;female;english, french
470341;bello;mietel;10;response3;28085,00000000000;21;female;english, spanish
451437;bello;butzen;0;response2;41441,10000014310;19;female;english, spanish
607637;bello;grifen;8;response2;40101,50000000000;20;male;english, french, spanish
460911;bello;eirnal;8;response1;44592,20000000300;23;male;english
451437;bello;bint;0;response3;41441,10000014310;19;female;english, spanish
476861;bello;haungheroffen;3;response1;131301,00000000000;20;female;english
770450;bello;brelein;4;response3;43691,89999999990;19;female;english
639301;bello;meravihglick;5;response1;98449,80000019071;22;female;english
415402;bello;thurtes;2;response3;506157,70000001800;20;female;english
533249;bello;pulken;7;response1;76070,60000000890;20;male;english, french
115250;bello;leuf;2;response1;84608,00000000000;19;female;english, latin, spanish
322150;bello;sprechiest;6;response3;81318,90000009540;20;female;english
284147;bello;iello;8;response1;31754,00000000000;21;female;english
201365;bello;pulcren;10;response1;60723,00000000070;19;female;spanish
470341;bello;kuret;10;response1;28085,00000000000;21;female;english, spanish
759150;bello;bonchen;8;response1;22895,80000001190;20;female;english, spanish
768043;bello;riuf;8;response3;52737,00000000000;19;male;english
550028;bello;bileim;1;response3;111185,00000000000;23;NA;english, spanish
475244;bello;blisken;11;response1;49791,80000001190;20;female;english
201365;bello;godth;10;response3;60723,00000000070;19;female;spanish
719959;bello;marhek;5;response3;44612,90000000600;19;male;english, spanish
135443;bello;nett;2;response2;16778,00000000000;20;female;none
629179;bello;swhen;0;response2;157999,80000007199;21;female;english
113612;bello;beaut;4;response1;40123,00000000010;22;female;english
475244;bello;luknek;11;response2;49791,80000001190;20;female;english
460911;bello;bern;8;response2;44592,20000000300;23;male;english
759150;bello;belloken;8;response3;22895,80000001190;20;female;english, spanish
607637;bello;klou;8;response1;40101,50000000000;20;male;english, french, spanish
24556;bello;bukklo;9;response1;52508,00000000000;19;female;english
602920;bello;dontenn;10;response2;45423,00000000000;21;male;english, spanish
270400;bello;kanz;0;response2;29605,00000000000;20;female;english
862212;bello;strazer;1;response1;117948,00000000000;21;female;english, french
533249;bello;reilen;7;response2;76070,60000000890;20;male;english, french
759150;bello;benchen;8;response2;22895,80000001190;20;female;english, spanish
113612;bello;gootaun;4;response2;40123,00000000010;22;female;english
705169;bello;ruk;7;response3;15025,50000000000;20;female;english
113612;bello;gooden;4;response3;40123,00000000010;22;female;english
719959;bello;kofkko;5;response1;44612,90000000600;19;male;english, spanish
602920;bello;sinng;10;response1;45423,00000000000;21;male;english, spanish
533249;bello;viegen;7;response3;76070,60000000890;20;male;english, french
697648;cane;stuff;10;response3;41150,40000003580;18;female;english, french, greek, latin
69205;cane;anisfhoiers;9;response1;70078,70000004770;19;female;english, spanish
945365;cane;juneritter;9;response3;19130,00000000000;19;female;none
272170;cane;folk;5;response2;59316,99999999990;20;female;english, spanish
887276;cane;ken;1;response1;160110,10000000001;20;female;english
933294;cane;kafte;1;response3;40674,70000028610;20;male;english, french
453362;cane;crenger;3;response2;107229,90000009500;19;female;english
178669;cane;blender;6;response3;36130,29999995230;24;male;english
594987;cane;nech;7;response2;68907,79999971390;19;female;english
645773;cane;khen;6;response2;239372,79999999699;19;female;english, french, spanish
154789;cane;ankol;7;response2;29810,50000000000;19;female;none
734905;cane;liunt;8;response2;21636,69999998810;25;female;english
645773;cane;wunth;6;response1;239372,79999999699;19;female;english, french, spanish
645773;cane;doken;6;response3;239372,79999999699;19;female;english, french, spanish
558871;cane;kurtz;10;response2;53670,40000000600;20;female;english
260250;cane;doht;3;response3;20185,50000000000;25;male;english, french
865548;cane;kanisch;4;response3;90895,60000002380;22;female;spanish
734905;cane;wozzter;8;response3;21636,69999998810;25;female;english
789134;cane;kande;2;response2;133038,90000009499;20;female;english
634231;cane;dunktain;3;response3;52928,69999998810;19;female;english
280558;cane;grundt;2;response3;32103,89999985690;19;female;english
792870;cane;shep;2;response1;22025,10000000010;19;female;english
453362;cane;caninger;3;response1;107229,90000009500;19;female;english
558871;cane;kommtez;10;response3;53670,40000000600;20;female;english
994381;cane;lomn;4;response2;60177,09999999400;25;male;english
994381;cane;brucht;4;response3;60177,09999999400;25;male;english
414592;cane;untpra;2;response2;79634,29999999890;45;female;english
905870;cane;hundzer;0;response2;91938,60000000150;19;female;english
260250;cane;cainen;3;response2;20185,50000000000;25;male;english, french
260250;cane;straus;3;response1;20185,50000000000;25;male;english, french
509857;cane;degwur;6;response3;81092,30000001191;27;female;english
676441;cane;duchen;0;response1;34401,69999999550;22;male;english, french, spanish
789134;cane;hand;2;response1;133038,90000009499;20;female;english
264771;cane;kenen;2;response3;24479,20000000300;19;female;english
486709;cane;zadro;1;response3;50491,00000000000;20;female;english, spanish
865548;cane;hund;4;response2;90895,60000002380;22;female;spanish
154789;cane;snuf;7;response1;29810,50000000000;19;female;none
865548;cane;kanen;4;response1;90895,60000002380;22;female;spanish
178669;cane;dlauer;6;response2;36130,29999995230;24;male;english
905870;cane;katzen;0;response1;91938,60000000150;19;female;english
558871;cane;kont;10;response1;53670,40000000600;20;female;english
976930;cane;tmuggy;6;response1;41774,09999990460;19;female;english
976930;cane;voggy;6;response2;41774,09999990460;19;female;english
908705;cane;durfen;9;response1;48429,50000000000;41;male;english
509857;cane;poppen;6;response2;81092,30000001191;27;female;english
676441;cane;ranc;0;response3;34401,69999999550;22;male;english, french, spanish
272170;cane;hunk;5;response1;59316,99999999990;20;female;english, spanish
339400;cane;nechanten;1;response2;92438,80000114439;19;female;english
979648;cane;gukon;7;response2;71550,40000009540;20;female;english
160288;cane;cunem;0;response1;69574,50000000000;21;female;english
933294;cane;fhurze;1;response1;40674,70000028610;20;male;english, french
414592;cane;keindo;2;response3;79634,29999999890;45;female;english
760400;cane;krapet;4;response1;44890,00000000000;19;female;english
671050;cane;frusten;8;response3;29640,10000002380;19;male;none
678940;cane;plumer;6;response2;23220,50000000000;19;female;english
74958;cane;wolfe;8;response3;54213,50000000000;46;male;english, french
160288;cane;chanem;0;response2;69574,50000000000;21;female;english
57543;cane;khein;10;response2;28878,60000000010;21;female;english, french, spanish
945365;cane;padritter;9;response2;19130,00000000000;19;female;none
660329;cane;bascsot;9;response1;39673,00000000000;20;female;english
69205;cane;guischasenlsis;9;response2;70078,70000004770;19;female;english, spanish
697648;cane;wolfhgein;10;response1;41150,40000003580;18;female;english, french, greek, latin
